id,name,type,path,lifecycle,audience_size_lower_bound,audience_size_upper_bound
6002998123892,Japanese cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Japanese cuisine (food & drink)']",8,135928681,159852130
6002998517244,Camcorders (consumer electronics),interests,"['Technology (computers & electronics)', 'Consumer electronics (computers & electronics)', 'Camcorders (consumer electronics)']",2,18698377,21989292
6003012317397,Gambling (gambling),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Gambling (gambling)']",2,331443443,389777490
6003012461997,Beer (alcoholic drinks),interests,"['Food and drink (consumables)', 'Alcoholic beverages (food & drink)', 'Beer (alcoholic drinks)']",2,333167653,391805160
6003020834693,Music (entertainment & media),interests,"['Entertainment (leisure)', 'Music (entertainment & media)']",2,1519764804,1787243410
6003025268985,Tattoos (body art),interests,"['Shopping and fashion', 'Beauty (social concept)', 'Tattoos (body art)']",2,495843528,583111990
6003029869785,Arts and music (art),interests,"['Hobbies and activities', 'Arts and music (art)']",2,1390925697,1635728620
6003030029655,Chinese cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Chinese cuisine (food & drink)']",8,152438027,179267120
6003030519207,Online poker (gambling),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Online poker (gambling)']",2,151133044,177732460
6003049202156,Community issues (law & government),interests,"['Hobbies and activities', 'Politics and social issues (politics)', 'Community issues (law & government)']",2,236059226,277605650
6003053056644,Gardening (outdoor activities),interests,"['Hobbies and activities', 'Home and garden', 'Gardening (outdoor activities)']",2,356451726,419187230
6003054884732,Coupons (coupons & discounts),interests,"['Shopping and fashion', 'Shopping (retail)', 'Coupons (coupons & discounts)']",2,577801581,679494660
6003059385128,Ecotourism (travel & tourism),interests,"['Hobbies and activities', 'Travel (travel & tourism)', 'Ecotourism (travel & tourism)']",2,124376713,146267015
6003059733932,First-person shooter games (video games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'First-person shooter games (video games)']",2,558766989,657109980
6003062205328,Retail banking (banking),interests,"['Business and industry', 'Banking (finance)', 'Retail banking (banking)']",2,23764328,27946850
6003063638807,Investment banking (banking),interests,"['Business and industry', 'Banking (finance)', 'Investment banking (banking)']",2,32717426,38475693
6003064649070,Mountains (places),interests,"['Hobbies and activities', 'Travel (travel & tourism)', 'Mountains (places)']",2,309836930,364368230
6003070122382,Toys (toys),interests,"['Shopping and fashion', 'Toys (toys)']",2,480501513,565069780
6003070856229,Games (leisure),interests,"['Entertainment (leisure)', 'Games (leisure)']",2,1242865136,1461609400
6003074487739,E-books (publications),interests,"['Entertainment (leisure)', 'Reading (communication)', 'E-books (publications)']",2,366680399,431216150
6003074954515,Sales (business & finance),interests,"['Business and industry', 'Sales (business & finance)']",2,892383903,1049443470
6003076016339,Email marketing (marketing),interests,"['Business and industry', 'Online (computing)', 'Email marketing (marketing)']",2,14417554,16955044
6003083357650,Manga (anime & manga),interests,"['Entertainment (leisure)', 'Reading (communication)', 'Manga (anime & manga)']",2,226028885,265809969
6003087413192,Baseball (sport),interests,"['Sports and outdoors', 'Sports (sports)', 'Baseball (sport)']",2,450915484,530276610
6003088846792,Beauty salons (cosmetics),interests,"['Shopping and fashion', 'Beauty (social concept)', 'Beauty salons (cosmetics)']",2,618195365,726997750
6003090714101,Car rentals (transportation),interests,"['Hobbies and activities', 'Travel (travel & tourism)', 'Car rentals (transportation)']",2,153514217,180532720
6003092330156,Mountain biking (cycling),interests,"['Sports and outdoors', 'Outdoor recreation (outdoors activities)', 'Mountain biking (cycling)']",2,94696265,111362808
6003092882217,Trucks (vehicles),interests,"['Hobbies and activities', 'Vehicles (transportation)', 'Trucks (vehicles)']",2,272359982,320295340
6003096002658,Graphic design (visual art),interests,"['Business and industry', 'Design (design)', 'Graphic design (visual art)']",2,315060008,370510570
6003101323797,Fatherhood (children & parenting),interests,"['Family and relationships', 'Fatherhood (children & parenting)']",8,352672278,414742600
6003102729234,Italian cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Italian cuisine (food & drink)']",8,146667498,172480978
6003102988840,Latin American cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Latin American cuisine (food & drink)']",8,41796581,49152780
6003103108917,Boutiques (retailers),interests,"['Shopping and fashion', 'Shopping (retail)', 'Boutiques (retailers)']",2,532794960,626566874
6003105618835,Crafts (hobbies),interests,"['Hobbies and activities', 'Arts and music (art)', 'Crafts (hobbies)']",2,423784727,498370840
6003106813190,Hunting (sport),interests,"['Sports and outdoors', 'Outdoor recreation (outdoors activities)', 'Hunting (sport)']",2,201917244,237454680
6003107699532,Soul music (music),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Soul music (music)']",2,461193307,542363330
6003107902433,Association football (Soccer),interests,"['Sports and outdoors', 'Sports (sports)', 'Association football (Soccer)']",2,1239072202,1457148910
6003108411433,Rabbits (animals),interests,"['Hobbies and activities', 'Pets (animals)', 'Rabbits (animals)']",2,114737916,134931790
6003108649035,Spanish cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Spanish cuisine (food & drink)']",8,35717153,42003372
6003108826384,Music festivals (events),interests,"['Entertainment (leisure)', 'Live events (entertainment)', 'Music festivals (events)']",2,293265824,344880610
6003115804542,Desktop computers (consumer electronics),interests,"['Technology (computers & electronics)', 'Computers (computers & electronics)', 'Desktop computers (consumer electronics)']",2,155917219,183358650
6003116038942,Computer monitors (computer hardware),interests,"['Technology (computers & electronics)', 'Computers (computers & electronics)', 'Computer monitors (computer hardware)']",2,145069931,170602240
6003120620858,Coffeehouses (coffee),interests,"['Food and drink (consumables)', 'Restaurants (dining)', 'Coffeehouses (coffee)']",2,411936607,484437450
6003122958658,Boating (outdoors activities),interests,"['Sports and outdoors', 'Outdoor recreation (outdoors activities)', 'Boating (outdoors activities)']",2,76591163,90071208
6003125064949,Electric vehicle (vehicle),interests,"['Hobbies and activities', 'Vehicles (transportation)', 'Electric vehicle (vehicle)']",2,98080261,115342387
6003125948045,Desserts (food & drink),interests,"['Food and drink (consumables)', 'Food (food & drink)', 'Desserts (food & drink)']",2,398663415,468828177
6003126215349,Comics (comics & cartoons),interests,"['Entertainment (leisure)', 'Reading (communication)', 'Comics (comics & cartoons)']",2,284793789,334917497
6003126358188,TV game shows (television show),interests,"['Entertainment (leisure)', 'TV (movies & television)', 'TV game shows (television show)']",2,110719600,130206250
6003127206524,Digital marketing (marketing),interests,"['Business and industry', 'Online (computing)', 'Digital marketing (marketing)']",2,149444939,175747249
6003129926917,Animated movies (movies),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Animated movies (movies)']",2,418699651,492390790
6003132926214,Furniture (home furnishings),interests,"['Hobbies and activities', 'Home and garden', 'Furniture (home furnishings)']",2,522148358,614046470
6003133486214,Vehicles (transportation),interests,"['Hobbies and activities', 'Vehicles (transportation)']",2,847249855,996365830
6003133978408,Chocolate (food & drink),interests,"['Food and drink (consumables)', 'Food (food & drink)', 'Chocolate (food & drink)']",2,475445765,559124220
6003134986700,Baking (cooking),interests,"['Food and drink (consumables)', 'Cooking (food & drink)', 'Baking (cooking)']",2,356463045,419200542
6003137105590,Volunteering (social causes),interests,"['Hobbies and activities', 'Politics and social issues (politics)', 'Volunteering (social causes)']",2,76758137,90267570
6003139266461,Movies (entertainment & media),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)']",2,1420386760,1670374830
6003141785766,Mortgage loans (banking),interests,"['Business and industry', 'Personal finance (banking)', 'Mortgage loans (banking)']",2,144190748,169568320
6003142705949,Computer processors (computer hardware),interests,"['Technology (computers & electronics)', 'Computers (computers & electronics)', 'Computer processors (computer hardware)']",2,186229379,219005750
6003142974961,Painting (visual art),interests,"['Hobbies and activities', 'Arts and music (art)', 'Painting (visual art)']",2,402405442,473228800
6003143720966,Personal finance (banking),interests,"['Business and industry', 'Personal finance (banking)']",2,729818596,858266670
6003146442552,Jazz music (music),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Jazz music (music)']",2,462368469,543745320
6003146718552,Auto racing (motor sports),interests,"['Sports and outdoors', 'Sports (sports)', 'Auto racing (motor sports)']",2,316189499,371838851
6003146729229,Distilled beverage (liquor),interests,"['Food and drink (consumables)', 'Alcoholic beverages (food & drink)', 'Distilled beverage (liquor)']",2,204502551,240495000
6003147868152,Parties (event),interests,"['Entertainment (leisure)', 'Live events (entertainment)', 'Parties (event)']",2,384128267,451734843
6003148544265,Wine (alcoholic drinks),interests,"['Food and drink (consumables)', 'Alcoholic beverages (food & drink)', 'Wine (alcoholic drinks)']",2,332466045,390980070
6003151951349,Computer servers (computing),interests,"['Technology (computers & electronics)', 'Computers (computers & electronics)', 'Computer servers (computing)']",2,87445790,102836250
6003153672865,Online games (video games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Online games (video games)']",2,595532287,700345970
6003154043305,Performing arts (performing arts),interests,"['Hobbies and activities', 'Arts and music (art)', 'Performing arts (performing arts)']",2,431488095,507430000
6003155333705,Vegetarianism (diets),interests,"['Food and drink (consumables)', 'Food (food & drink)', 'Vegetarianism (diets)']",8,207809507,244383981
6003156321008,"Bars (bars, clubs & nightlife)",interests,"['Entertainment (leisure)', 'Live events (entertainment)', 'Bars (bars, clubs & nightlife)']",2,294046380,345798543
6003157824284,Bollywood movies (movies),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Bollywood movies (movies)']",2,374775850,440736400
6003159378782,Cats (animals),interests,"['Hobbies and activities', 'Pets (animals)', 'Cats (animals)']",2,448420365,527342350
6003159413034,Fish (animals),interests,"['Hobbies and activities', 'Pets (animals)', 'Fish (animals)']",2,321510238,378096040
6003161475030,Comedy movies (movies),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Comedy movies (movies)']",2,1006576522,1183733990
6003162931434,College football (college sports),interests,"['Sports and outdoors', 'Sports (sports)', 'College football (college sports)']",2,106642491,125411570
6003166397215,Swimming (water sport),interests,"['Sports and outdoors', 'Sports (sports)', 'Swimming (water sport)']",2,228292881,268472429
6003172448161,TV talkshows (television show),interests,"['Entertainment (leisure)', 'TV (movies & television)', 'TV talkshows (television show)']",2,131425399,154556270
6003172932634,TV (movies & television),interests,"['Entertainment (leisure)', 'TV (movies & television)']",2,990365017,1164669260
6003176101552,Massively multiplayer online games (video games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Massively multiplayer online games (video games)']",2,111371562,130972958
6003176678152,Automobiles (vehicles),interests,"['Hobbies and activities', 'Vehicles (transportation)', 'Automobiles (vehicles)']",2,677437057,796665980
6003179515414,Dance music (music),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Dance music (music)']",2,285610654,335878130
6003120620858,Coffeehouses (coffee),interests,"['Food and drink (consumables)', 'Restaurants (dining)', 'Coffeehouses (coffee)']",2,411936607,484437450
6003188355978,Dresses (apparel),interests,"['Shopping and fashion', 'Fashion accessories (accessories)', 'Dresses (apparel)']",2,573380000,674294881
6003194056672,Fine art (visual art),interests,"['Hobbies and activities', 'Arts and music (art)', 'Fine art (visual art)']",2,140074631,164727767
6003195554098,Rhythm and blues music (music),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Rhythm and blues music (music)']",2,669180255,786955980
6003195797498,Cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)']",2,589915858,693741050
6003198370967,Massively multiplayer online role-playing games (video games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Massively multiplayer online role-playing games (video games)']",2,109827267,129156867
6003198476967,Handbags (accessories),interests,"['Shopping and fashion', 'Fashion accessories (accessories)', 'Handbags (accessories)']",2,413353863,486104143
6003200340482,Middle Eastern cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Middle Eastern cuisine (food & drink)']",8,28441849,33447615
6003206216430,Magazines (publications),interests,"['Entertainment (leisure)', 'Reading (communication)', 'Magazines (publications)']",2,613485722,721459210
6003206308286,Science fiction movies (movies),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Science fiction movies (movies)']",2,363505918,427482960
6003207605030,Minivans (vehicle),interests,"['Hobbies and activities', 'Vehicles (transportation)', 'Minivans (vehicle)']",2,48699184,57270241
6003210799924,Romance novels (publications),interests,"['Entertainment (leisure)', 'Reading (communication)', 'Romance novels (publications)']",2,229731352,270164070
6003211401886,Air travel (transportation),interests,"['Hobbies and activities', 'Travel (travel & tourism)', 'Air travel (transportation)']",2,305795457,359615458
6003217093576,Insurance (business & finance),interests,"['Business and industry', 'Personal finance (banking)', 'Insurance (business & finance)']",2,340092619,399948920
6003220634758,Discount stores (retail),interests,"['Shopping and fashion', 'Shopping (retail)', 'Discount stores (retail)']",2,393583676,462854404
6003224441249,Televisions (consumer electronics),interests,"['Technology (computers & electronics)', 'Consumer electronics (computers & electronics)', 'Televisions (consumer electronics)']",2,1077339829,1266951640
6003225325061,Thriller movies (movies),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Thriller movies (movies)']",2,553071904,650412560
6003225556345,Hip hop music (music),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Hip hop music (music)']",2,824386198,969478170
6003225930699,Cruises (travel & tourism business),interests,"['Hobbies and activities', 'Travel (travel & tourism)', 'Cruises (travel & tourism business)']",2,172715314,203113210
6003232518610,Parenting (children & parenting),interests,"['Family and relationships', 'Parenting (children & parenting)']",2,284294627,334330482
6003234413249,Home improvement (home & garden),interests,"['Hobbies and activities', 'Home and garden', 'Home improvement (home & garden)']",2,335748624,394840382
6003240742699,Seafood (food & drink),interests,"['Food and drink (consumables)', 'Food (food & drink)', 'Seafood (food & drink)']",2,270206906,317763322
6003243058188,Diners (restaurant),interests,"['Food and drink (consumables)', 'Restaurants (dining)', 'Diners (restaurant)']",2,117957833,138718412
6003243604899,Action movies (movies),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Action movies (movies)']",2,627385552,737805410
6003246168013,Simulation games (video games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Simulation games (video games)']",2,92506020,108787080
6003247127613,Ballet (dance),interests,"['Entertainment (leisure)', 'Live events (entertainment)', 'Ballet (dance)']",2,100333394,117992072
6003247790075,Literature (publications),interests,"['Entertainment (leisure)', 'Reading (communication)', 'Literature (publications)']",2,372953690,438593540
6003247890613,Dancehalls (music),interests,"['Entertainment (leisure)', 'Live events (entertainment)', 'Dancehalls (music)']",2,103399718,121598069
6003248338072,Casino games (gambling),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Casino games (gambling)']",2,43101736,50687642
6003252179711,Engineering (science),interests,"['Business and industry', 'Engineering (science)']",2,469516258,552151120
6003254590688,Spas (personal care),interests,"['Shopping and fashion', 'Beauty (social concept)', 'Spas (personal care)']",2,588815610,692447158
6003255640088,Sunglasses (eyewear),interests,"['Shopping and fashion', 'Fashion accessories (accessories)', 'Sunglasses (eyewear)']",2,370515170,435725841
6003257757682,Blues music (music),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Blues music (music)']",2,453873086,533754750
6003263791114,Shopping (retail),interests,"['Shopping and fashion', 'Shopping (retail)']",2,1436935629,1689836300
6003266061909,Food (food & drink),interests,"['Food and drink (consumables)', 'Food (food & drink)']",2,1204339217,1416302920
6003266225248,Jewelry (apparel),interests,"['Shopping and fashion', 'Fashion accessories (accessories)', 'Jewelry (apparel)']",2,721781530,848815080
6003266266843,Fashion design (design),interests,"['Business and industry', 'Design (design)', 'Fashion design (design)']",2,347376821,408515142
6003268182136,TV reality shows (movies & television),interests,"['Entertainment (leisure)', 'TV (movies & television)', 'TV reality shows (movies & television)']",2,520518945,612130280
6003269553527,Sports (sports),interests,"['Sports and outdoors', 'Sports (sports)']",2,1446967517,1701633800
6003270811593,Higher education (education),interests,"['Business and industry', 'Higher education (education)']",2,563361079,662512630
6003274262708,Fiction books (publications),interests,"['Entertainment (leisure)', 'Reading (communication)', 'Fiction books (publications)']",2,407642219,479387250
6003277229371,Physical fitness (fitness),interests,"['Fitness and wellness (fitness)', 'Physical fitness (fitness)']",2,678866522,798347030
6003279598823,Marketing (business & finance),interests,"['Business and industry', 'Marketing (business & finance)']",2,605494039,712060990
6003280676501,GPS devices (consumer electronics),interests,"['Technology (computers & electronics)', 'Consumer electronics (computers & electronics)', 'GPS devices (consumer electronics)']",2,24952948,29344667
6003283801502,Thai cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Thai cuisine (food & drink)']",8,57123875,67177678
6003286289697,Birds (animals),interests,"['Hobbies and activities', 'Pets (animals)', 'Birds (animals)']",2,353079693,415221720
6003288647527,Projectors (consumer electronics),interests,"['Technology (computers & electronics)', 'Consumer electronics (computers & electronics)', 'Projectors (consumer electronics)']",2,31618071,37182852
6003289911338,Smartphones (consumer electronics),interests,"['Technology (computers & electronics)', 'Consumer electronics (computers & electronics)', 'Smartphones (consumer electronics)']",2,789714659,928704440
6003290005325,Web development (websites),interests,"['Business and industry', 'Online (computing)', 'Web development (websites)']",2,45666865,53704234
6003290811111,Current events (politics),interests,"['Hobbies and activities', 'Current events (politics)']",2,879551573,1034352650
6003297396138,Banking (finance),interests,"['Business and industry', 'Banking (finance)']",2,428565144,503992610
6003299204611,Beverages (food & drink),interests,"['Food and drink (consumables)', 'Beverages (food & drink)']",2,854926352,1005393390
6003302121228,Guitar (instruments),interests,"['Hobbies and activities', 'Arts and music (art)', 'Guitar (instruments)']",2,150172134,176602430
6003304473660,SUVs (vehicles),interests,"['Hobbies and activities', 'Vehicles (transportation)', 'SUVs (vehicles)']",2,232294159,273177931
6003306084421,Yoga (fitness),interests,"['Fitness and wellness (fitness)', 'Yoga (fitness)']",2,382445073,449755406
6003306415421,Greek cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Greek cuisine (food & drink)']",8,31516505,37063410
6003324287371,Skiing (skiing & snowboarding),interests,"['Sports and outdoors', 'Sports (sports)', 'Skiing (skiing & snowboarding)']",2,141235696,166093179
6003325186571,Cameras (photography),interests,"['Technology (computers & electronics)', 'Consumer electronics (computers & electronics)', 'Cameras (photography)']",2,435776598,512473280
6003332344237,Dogs (animals),interests,"['Hobbies and activities', 'Pets (animals)', 'Dogs (animals)']",2,491744251,578291240
6003332483177,Music videos (entertainment & media),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Music videos (entertainment & media)']",2,985474268,1158917740
6003341579196,Pop music (music),interests,"['Entertainment (leisure)', 'Music (entertainment & media)', 'Pop music (music)']",2,994586870,1169634160
6003342470823,Board games (games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Board games (games)']",2,87881277,103348382
6003343485089,Korean cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Korean cuisine (food & drink)']",8,102158375,120138250
6003343997689,Home Appliances (consumer electronics),interests,"['Hobbies and activities', 'Home and garden', 'Home Appliances (consumer electronics)']",2,265301547,311994620
6003346311730,Vietnamese cuisine (food & drink),interests,"['Food and drink (consumables)', 'Cuisine (food & drink)', 'Vietnamese cuisine (food & drink)']",8,48440493,56966020
6003346592981,Online shopping (retail),interests,"['Shopping and fashion', 'Shopping (retail)', 'Online shopping (retail)']",2,1347410025,1584554190
6003348453981,Shoes (footwear),interests,"['Shopping and fashion', 'Clothing (apparel)', 'Shoes (footwear)']",2,841455391,989551540
6003348604581,Fashion accessories (accessories),interests,"['Shopping and fashion', 'Fashion accessories (accessories)']",2,978194413,1150356630
6003348662930,Camping (outdoors activities),interests,"['Sports and outdoors', 'Outdoor recreation (outdoors activities)', 'Camping (outdoors activities)']",2,240108356,282367427
6003349175527,Computer memory (computer hardware),interests,"['Technology (computers & electronics)', 'Computers (computers & electronics)', 'Computer memory (computer hardware)']",2,34725485,40837171
6003349442621,Entertainment (leisure),interests,['Entertainment (leisure)'],2,1762191547,2072337260
6003351312828,Musical theatre (performing arts),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Musical theatre (performing arts)']",2,99099132,116540580
6003351764757,Triathlons (athletics),interests,"['Sports and outdoors', 'Sports (sports)', 'Triathlons (athletics)']",8,95150246,111896690
6003353550130,Motorcycles (vehicles),interests,"['Hobbies and activities', 'Vehicles (transportation)', 'Motorcycles (vehicles)']",2,415968877,489179400
6003359996821,Nature (science),interests,"['Hobbies and activities', 'Travel (travel & tourism)', 'Nature (science)']",2,815391156,958900000
6003361714600,"Nightclubs (bars, clubs & nightlife)",interests,"['Entertainment (leisure)', 'Live events (entertainment)', 'Nightclubs (bars, clubs & nightlife)']",2,334577993,393463720
6003369240775,Basketball (sport),interests,"['Sports and outdoors', 'Sports (sports)', 'Basketball (sport)']",2,714404481,840139670
6003369782940,Credit cards (credit & lending),interests,"['Business and industry', 'Personal finance (banking)', 'Credit cards (credit & lending)']",2,434819319,511347520
6003370636074,Search engine optimization (software),interests,"['Business and industry', 'Online (computing)', 'Search engine optimization (software)']",2,36242695,42621410
6003371567474,Entrepreneurship (business & finance),interests,"['Business and industry', 'Entrepreneurship (business & finance)']",2,382208471,449477162
6003372667195,Fast food restaurants (dining),interests,"['Food and drink (consumables)', 'Restaurants (dining)', 'Fast food restaurants (dining)']",2,169866686,199763223
6003373175581,Documentary movies (movies),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Documentary movies (movies)']",2,440272559,517760530
6003375422677,Drama movies (movies),interests,"['Entertainment (leisure)', 'Movies (entertainment & media)', 'Drama movies (movies)']",2,473430323,556754060
6003376089674,American football (sport),interests,"['Sports and outdoors', 'Sports (sports)', 'American football (sport)']",2,417768477,491295730
6003380576181,Role-playing games (video games),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Role-playing games (video games)']",2,152068967,178833106
6003381994165,Portable media players (audio equipment),interests,"['Technology (computers & electronics)', 'Consumer electronics (computers & electronics)', 'Portable media players (audio equipment)']",2,6968758,8195260
6003382151137,Reptiles (animals),interests,"['Hobbies and activities', 'Pets (animals)', 'Reptiles (animals)']",2,49090909,57730910
6003384248805,Fitness and wellness (fitness),interests,['Fitness and wellness (fitness)'],8,1083752219,1274492610
6003385141743,Racing games (video game),interests,"['Entertainment (leisure)', 'Games (leisure)', 'Racing games (video game)']",2,123480765,145213380
6003385609165,Recipes (food & drink),interests,"['Food and drink (consumables)', 'Cooking (food & drink)', 'Recipes (food & drink)']",2,480500399,565068470
6003387418453,Web hosting (computing),interests,"['Business and industry', 'Online (computing)', 'Web hosting (computing)']",2,24069693,28305960
6003387633593,Drums (instruments),interests,"['Hobbies and activities', 'Arts and music (art)', 'Drums (instruments)']",2,116439379,136932710
6003388314512,Investment (business & finance),interests,"['Business and industry', 'Personal finance (banking)', 'Investment (business & finance)']",2,412508707,485110240
6003389760112,Social media marketing (marketing),interests,"['Business and industry', 'Online (computing)', 'Social media marketing (marketing)']",2,84384732,99236446
6003390752144,Shopping malls (retail),interests,"['Shopping and fashion', 'Shopping (retail)', 'Shopping malls (retail)']",2,588304336,691845900
6003392512725,Energy drinks (nonalcoholic beverage),interests,"['Food and drink (consumables)', 'Beverages (food & drink)', 'Energy drinks (nonalcoholic beverage)']",2,97544710,114712580
6003394580331,RVs (vehicle),interests,"['Hobbies and activities', 'Vehicles (transportation)', 'RVs (vehicle)']",2,53278409,62655410
6003395414271,Construction (industry),interests,"['Business and industry', 'Construction (industry)']",2,466283290,548349150
6003397425735,Tennis (sport),interests,"['Sports and outdoors', 'Sports (sports)', 'Tennis (sport)']",2,329849081,387902520
6003397496347,Running (sport),interests,"['Fitness and wellness (fitness)', 'Running (sport)']",2,295862363,347934139
6003398056603,Fast casual restaurants (restaurant),interests,"['Food and drink (consumables)', 'Restaurants (dining)', 'Fast casual restaurants (restaurant)']",2,127329706,149739735
6003402305839,Business (business & finance),interests,"['Business and industry', 'Business (business & finance)']",2,997456139,1173008420
6003402518839,Web design (websites),interests,"['Business and industry', 'Online (computing)', 'Web design (websites)']",2,53903690,63390740
6003404634364,Computers (computers & electronics),interests,"['Technology (computers & electronics)', 'Computers (computers & electronics)']",2,1176187032,1383195950
6003409043877,Alcoholic beverages (food & drink),interests,"['Food and drink (consumables)', 'Alcoholic beverages (food & drink)']",2,533115918,626944320
